Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
O94925,8.27509316628798,8.2165948486482,8.32219655988968,8.13558212640323,7.64530761622119,7.58655407243575,7.5398998959249,7.48499485264073,7.4830041315146,7.43952012349269,7.61915639129027,8.10986621791708,8.14103164599407,8.24045017768633,8.3243217866773,7.76108081653433,7.60382043706109,7.86278509981119,7.93479397142902,8.12738644840677,8.00062738154987,7.32888287051684
P02652,7.36224079483173,7.13925341566588,7.40056680648599,7.43720214881247,7.03065371383502,7.54913339457135,7.72800235276676,7.61429793198297,7.37919019059152,8.15975088785079,8.15948167383767,7.24746329472803,7.21475882015457,7.50080555054728,7.51057957298414,7.39680565366036,7.66757419272771,7.49972283015018,6.99622278816122,7.11467579834922,7.25292304388476,8.48153415277005
P04179,7.73617497541482,7.52260661181351,7.46990622399272,7.40884399421391,7.64427153997741,7.62394559961162,7.61672191658563,8.17839903054628,7.86417879813266,7.71598212704119,8.2895389722,7.45465644435274,6.90918632853848,7.37413245667791,7.23294163833461,7.71349128526783,7.62329372696425,7.85304909644534,7.74093208998359,7.88650618414813,8.37944079063375,9.04290714760962
P12956,8.81301531352553,8.69996831762965,8.64801268357957,8.4616034602924,7.95604688748423,7.13150897917578,7.35191427576853,7.26140600697875,7.3948134783165,7.22375468014637,8.09361504024994,8.76383969429532,8.61011703856344,8.61836016559191,8.43680979508108,8.08889259712319,7.4838325302866,7.78932923095538,8.03215610374352,7.84465498013165,7.41690074991141,7.34441742176354
P18859,7.6082841785693,7.82071158561861,7.87176773902083,7.76744717113608,7.29835187740367,7.44459153870675,7.35903404130426,7.15030672066347,7.35790735368957,7.37426987542458,7.13596991605112,7.58541572020209,7.41892756389799,7.57970886055258,7.6078568031394,7.37661099549865,7.38365921260358,7.32965296936788,7.39154216332063,7.21499586095314,7.35277957340052,7.77625099806288
P21281,7.67701599505565,7.5650294407201,7.49769100796929,7.54137306955087,7.45433256198467,7.57419431152404,7.641376855634,7.29648584220102,7.56813087160062,7.60445699836307,7.51070568455856,7.68170130621577,7.63865625206772,7.63606139219058,7.2978505524486,7.32645638257612,7.61897922186921,7.49322137730885,7.38750350880477,7.64284672611777,7.71090562370452,8.26094801711322
P26022,7.92328072202143,7.88023812868237,7.86002069827798,7.85739612210909,7.53566584426562,7.54762315037072,7.46610005093524,7.49122555957935,7.47886480891114,7.55479398283002,7.05300207155175,7.89775408339716,7.74405939938996,7.87686609946256,7.82851054836181,7.13535149128983,7.49566873575254,7.50094648792287,7.54564186512305,7.55523216495515,7.49187208117081,7.85608379646635
P26447,7.44846739556473,7.45075213192378,7.44057008635552,7.28392073544568,7.16035763786858,7.07087593951148,7.10001039570498,7.0442973787257,7.03865597693205,7.08320237832759,7.36158671261163,7.30811976931841,7.36956720249689,7.35957348503434,7.11004122226274,7.25899160354399,7.13419477363981,7.27776516771072,7.1454241183822,6.99764261663517,7.04597826389092,6.82709755793283
P40926,8.66415887402586,8.72080285434287,8.68180563552927,8.52962529869187,8.44002427277384,8.60321694719539,8.48402991754097,8.48298647231452,8.38138371434356,8.35743623135968,8.69384702251602,8.58887336623636,8.53974224075813,8.38685874407616,8.37044553521945,8.35428694570158,8.26564282327331,8.30827142591947,8.45929452625922,8.49111212920767,8.58004125846063,9.04882426549646
P42765,7.30767367520927,7.33244269933835,7.42225781670748,7.12684473169366,7.23413343016163,7.38486687250936,7.53453325082873,7.34951691557667,7.12179346364292,7.68216558874507,7.35370672976463,7.00015663160871,7.16607983811631,7.02557552896909,7.13767802180115,7.18045299239285,7.48784016681753,7.31352973829312,7.2895280592057,7.37346266655931,7.26584613354446,8.11010452235798
P56192,8.11213073293839,8.01318965831322,7.8630468024316,7.64825788152961,7.4084467065893,7.43245602504154,7.24060790529883,7.43829060181643,7.2632741417952,7.1954919648126,7.29996589520313,7.54817821311438,7.61110457029792,7.46087953189618,7.74787625980666,7.57081896951457,7.29637616844422,7.32008358533346,7.36437698376863,7.34676549315993,6.91851039117862,7.20407027595721
P61981,8.26090382280944,8.07663868957515,8.30617325573044,8.30992413167409,8.10635839720436,7.99438225654819,7.770297623339,8.00121103589208,8.13604105811939,7.67742578765884,8.07282633555453,8.34180751934725,8.16601953814148,8.09956459728317,7.84925277782797,8.15944748083873,7.85235007219933,7.97343347592779,8.24852880037587,8.37817869059715,8.29415816339299,8.21597543234616
P62854,6.98011433302579,8.0627113666835,7.94122698239479,7.80522508581735,7.54013714031784,7.52915737610123,7.40142862705261,7.65279562364701,7.414358323363,7.28921542210413,7.54865000435475,8.13709005063018,8.16390208067556,8.0618813134502,7.87091898623015,7.30944628494754,7.44737082558407,7.48050025558287,7.66110129472035,7.55154134895702,7.47934089146331,7.2943807633182
P62917,8.68454187769365,8.50311817796763,8.43986263040578,7.9369646679536,7.78026711708671,7.82213578383884,7.52883457330325,7.74175415403479,8.07636462200777,7.87387260440394,8.03184352030916,8.79826121406383,8.29243145213747,8.16748358245355,7.72036414334203,7.79876267051861,7.54844067181607,7.87769838415846,8.17503148199775,8.25440629253856,8.29923533728123,7.76187612722187
Q02818,7.58156460347425,7.51956932693659,7.62724339619693,7.29064100583085,7.41967743298308,7.67023443524877,7.82607431004719,7.82259745925386,7.7380361179048,7.98545092365038,7.4563716803082,7.60981014624814,7.24694831110114,7.6060082098872,7.37772733774311,7.67679975801813,7.7709147253079,7.43631383633567,7.47442330734701,7.65435099976826,7.63701425391326,8.57041014087132
Q07065,8.23658084944521,8.91014775718783,8.19858161030821,7.8687004242141,7.30467438876601,7.45312613406558,7.62037799876577,7.88290022658011,8.01199710704036,8.13946091449516,8.35569890155166,7.93033572958222,7.87271769173276,8.17499374976334,7.98062453466701,7.90965135216356,8.03012585617109,7.99287167124811,8.19416520838122,8.3997370336213,8.22059170987797,8.43129696451258
Q07866,7.93686107811341,7.82879079940842,7.90460280230046,7.07621648105403,6.9748375840463,7.18591199300745,7.06769285469085,7.05580518489917,7.03862187054414,7.02145598309857,6.97218630790459,7.325064042126,7.22111681534874,7.35061380631477,7.36531976637297,7.16381925370936,7.11796774161213,7.0645406121436,7.22614231934697,7.27440448017875,7.02826385624132,6.9966489047268
Q07954,7.70923904407955,7.23449624819286,7.26705333262357,7.12233955944917,6.91012535077546,7.42747665165197,7.57752526422355,7.59119773733649,7.43109875091297,7.71291942973854,7.5816060825664,7.61583547389043,7.15318560363059,7.17284054966346,7.18305425080853,6.9756054847969,7.52975441599999,7.10897656018904,6.80972156204299,6.74834888772087,7.82911144739421,8.48158388051932
Q13162,7.68097872526327,7.3738239824411,7.64253794904583,7.6654206492698,7.52279192641357,7.60631085648328,7.6691349178452,7.31203638346279,7.51688999018664,7.45592509653369,7.61320920947581,7.59872284986901,7.6664864826656,7.42785085158033,7.64298496684663,7.50232279504713,7.64753029154955,7.56595670987683,7.6176946784071,7.61719694575925,7.79346786295145,8.27050483338558
Q14011,7.34091137353236,7.37633311423191,7.60741579427617,7.50631672547432,7.61386145723636,7.13958220441075,7.19796830798692,6.99023120428541,7.41371664446374,7.34503243695741,7.61012129666552,7.61049026280742,7.57294539351776,7.25699096455012,7.3988871979094,7.14227437018964,7.01425339255416,7.19913786185615,7.80623100579428,7.60900044848347,7.53007940295995,6.92966360392283
Q15459,7.41996597612805,7.83746670380377,7.49476229457508,7.53240083181763,7.17764421142383,7.20247582106963,7.0842394684848,6.69193942492304,7.05423733553072,6.83676231507629,7.54935875596416,7.7640950644394,7.74654017971918,7.43760464009894,7.14581042052363,6.62697500952192,6.60036055944467,7.10945019203265,7.44718391442823,7.09092973359763,7.28113056362189,7.40714761785419
Q15843,7.36556866247109,7.78059629215615,7.80506131588238,7.85042597346678,7.99006444111123,7.75106618477631,7.66197003224536,7.82360504009208,7.88128928671579,7.64811979355693,7.95785360005483,7.8389005118731,7.69573372081387,7.74973352815945,7.7082766670373,7.9312861320486,7.77693731772994,7.80918565619426,7.96247109585528,8.1636643697545,7.8641576036431,7.3422925568324
Q9H0U4,7.71031649025845,7.80972289995307,7.66436730487688,7.45202682673242,7.3801278862799,7.32981495309014,7.25981953543816,7.16902800798757,7.14592981779584,7.25913967300792,7.25460297584679,7.17670781528673,7.53032216081141,7.4535811366742,7.52188898589148,7.3857839601368,7.29023965814946,7.24440324625686,7.34855136389734,7.28960553892948,7.23820958528772,7.25290321648257
Q9UHD8,8.42306202760489,8.23992078717565,8.22295338010435,8.10438982920918,8.03113249340893,7.35906117648481,7.48448322038009,7.74118914179378,7.97411741579056,7.34439331377845,7.83121109151823,8.32507885104117,8.14078316750864,8.12130830708093,7.84331717892712,7.85304264059189,7.57263846388181,7.77792907351406,7.90574492489639,8.02033186126406,7.82236595092846,6.78716841067731
Q9UJZ1,7.89947182520528,7.93567121348497,7.78451885601512,7.63733204063929,7.5777643832862,7.56816778823113,7.92991329439608,8.10929372813419,7.63863026442622,8.37239714103603,8.18721911515216,7.79653639598717,7.90951508911982,7.76562897773528,7.74834849908464,7.91457318691828,7.89375208077751,7.62683633582344,7.78908285004265,7.51615880756941,7.42566986146932,8.74677064730806
Q9UNH7,7.32434103909638,7.30269798301824,7.18784133055609,7.2133147416902,7.237172003988,7.35165416563678,7.42758420529858,7.29413506699018,7.48873638455839,7.5239782743399,6.81878142929361,7.3326006873863,7.23646251164106,7.31698793356605,7.27048214159249,7.37521290985948,7.40710356455513,7.28069731966643,7.33722839121978,7.5383963376257,7.41750504868339,7.51000657209827
